titulo,url,plataforma,fecha_publicacion,tags,resumen,idioma
"Morir teniendo razón: Chernobyl y la tragedia de los mundos cerrados o por qué la moral explica mal la acción humana","https://www.linkedin.com/pulse/morir-teniendo-raz%C3%B3n-chernobyl-y-la-tragedia-de-los-mundos-viola-ygodf","LinkedIn","","","En la miniserie Chernobyl creada por Craig Mazin para HBO y estrenada en 2019 hay una escena que condensa de manera brutal toda la estupidez y la tragedia del accidente.","Español"
"Contra el heroísmo moral y pedagógico contemporáneo: una crítica desde la teoría del sentido","https://www.linkedin.com/pulse/contra-el-hero%C3%ADsmo-moral-y-pedag%C3%B3gico-contempor%C3%A1neo-una-viola-ean9f","LinkedIn","","","La cultura moral y pedagógica contemporánea continúa organizada, de manera más o menos explícita, en torno a una figura central: la del sujeto heroico","Español"
"De Albañil a Arquitecto: Por qué investigar sin IA hoy es una ingenuidad epistemológica (y cómo hacerlo bien)","https://www.linkedin.com/pulse/de-alba%C3%B1il-arquitecto-por-qu%C3%A9-investigar-sin-ia-hoy-es-viola-owouc","LinkedIn","","","En las Humanidades y las Ciencias Sociales, la IA no es un software accesorio. Es, en sentido estricto, nuestro microscopio conceptual y nuestro telescopio analítico.","Español"
"Contra la repetición: del síntoma subjetivo a la decadencia política","https://www.linkedin.com/pulse/contra-la-repetici%C3%B3n-del-s%C3%ADntoma-subjetivo-decadencia-viola-fhzlf","LinkedIn","","","Tenemos una extraña habilidad para repetir lo que nos arruina. En lo íntimo y en lo político, somos expertos en tropezar con la misma piedra.","Español"
"La fragilidad del pensar y del cuidar","https://www.linkedin.com/pulse/la-fragilidad-del-pensar-y-cuidar-federico-ignacio-viola-0adkf","LinkedIn","","","Este artículo parte de una constatación incómoda: nuestras categorías morales y jurídicas heredadas suponen un sujeto racional, autónomo e incorruptible.","Español"
"Autonomy as Autopoiesis: Rethinking Technological Sovereignty Through Web3","https://www.linkedin.com/pulse/autonomy-autopoiesis-rethinking-technological-through-viola-a98cf","LinkedIn","","","For centuries, we've told ourselves that being free means being able to choose. Choose our words, our jobs, our loves, our governments. But is this really what freedom means?","Inglés"
"Pensar sin pedestal: Nietzsche, Arendt y el sujeto ordinario","https://www.linkedin.com/pulse/pensar-sin-pedestal-nietzsche-arendt-y-el-sujeto-ordinario-viola-6ygbf","LinkedIn","","","Toda moral necesita ídolos. Figuras ejemplares que encarnen el bien o el mal absoluto. Héroes admirables que nos rediman, monstruos aterradores que justifiquen nuestro miedo.","Español"
"Tecnología sin temor: cómo habitar el futuro con inteligencia","https://www.linkedin.com/pulse/tecnolog%C3%ADa-sin-temor-c%C3%B3mo-habitar-el-futuro-con-viola-brldf","LinkedIn","","","En su reciente texto The Gentle Singularity, Sam Altman sostiene que la humanidad ha entrado en una fase irreversible de transformación acelerada impulsada por la IA.","Español"
"Pensar más allá del bien y del mal: por una ética sin nostalgia frente a la Inteligencia Artificial","https://www.linkedin.com/pulse/pensar-m%C3%A1s-all%C3%A1-del-bien-y-mal-por-una-%C3%A9tica-sin-nostalgia-viola-auhzf","LinkedIn","","","Hoy, buena parte del debate público sobre la inteligencia artificial está capturado por un discurso alarmista y profundamente moralizante.","Español"
"La banalidad de la torpeza: Eichmann, Arendt y la ética de los actos irreflexivos","https://www.linkedin.com/pulse/la-banalidad-de-torpeza-eichmann-arendt-y-%C3%A9tica-los-actos-viola-qxvgf","LinkedIn","","","En el imaginario moral contemporáneo, el criminal suele ser representado como un sujeto racional, autónomo, consciente de sus actos y de sus consecuencias.","Español"
"Inteligencia como habla: comportamiento lingüístico y modelos artificiales","https://www.linkedin.com/pulse/inteligencia-como-habla-comportamiento-ling%C3%BC%C3%ADstico-y-modelos-viola-izftf","LinkedIn","","","¿Qué es la inteligencia? Esta pregunta, tan antigua como el pensamiento mismo, se ha visto recientemente reactivada por el avance vertiginoso de la inteligencia artificial.","Español"
"Delirio y ruina: cuando el entusiasmo devora al deseo","https://www.linkedin.com/pulse/delirio-y-ruina-cuando-el-entusiasmo-devora-al-deseo-viola-tjxqf","LinkedIn","","","La desmesura al madurar grana en la espiga del error, y la cosecha que se recoge sólo consiste en lágrimas. - Esquilo","Español"
"Del conformismo al desgarro. The Office y Peep Show como alegorías de la subjetividad occidental contemporánea","https://www.linkedin.com/pulse/del-conformismo-al-desgarro-office-y-peep-show-como-alegor%C3%ADas-viola-yuxjf","LinkedIn","","","La comedia, lejos de ser un género menor, es una forma precisa de diagnóstico social. A través de la risa, se revela lo que de otro modo sería insoportable.","Español"
"El mal no se elige. Crítica al sujeto culpable en la moral y el derecho occidental","https://www.linkedin.com/pulse/el-mal-se-elige-cr%C3%ADtica-al-sujeto-culpable-en-la-moral-viola-lo7tf","LinkedIn","","","La historia del pensamiento moral y jurídico occidental ha descansado sobre una convicción tan arraigada como problemática: la de que el mal se elige libremente.","Español"
"¿Es la Inteligencia Artificial realmente artificial? Por una inteligencia sintética, tecnogénica y protésica","https://www.linkedin.com/pulse/es-la-inteligencia-artificial-realmente-por-una-sint%C3%A9tica-viola-fp8nf","LinkedIn","","","La expresión inteligencia artificial se ha instalado de manera irreversible en nuestro vocabulario cotidiano. Desde los medios hasta la academia, de la política al derecho.","Español"
"Una crítica pragmática a la noción metafísica de comunidad. Contra el mito de un origen único","https://www.linkedin.com/pulse/una-cr%C3%ADtica-pragm%C3%A1tica-la-noci%C3%B3n-metaf%C3%ADsica-de-comunidad-viola-pyzqf","LinkedIn","","","La noción tradicional de comunidad ha sido históricamente construida desde supuestos metafísicos profundamente arraigados en la cultura occidental.","Español"
"La promesa de la Web 3: de la gleba digital a la soberanía informacional","https://www.linkedin.com/pulse/la-promesa-de-web-3-gleba-digital-soberan%C3%ADa-federico-ignacio-viola-4xbtf","LinkedIn","","","A lo largo de las últimas décadas, Internet ha atravesado diferentes etapas que, como se ha propuesto desde varias perspectivas, pueden entenderse a través de la metáfora del feudalismo digital.","Español"
"Poder sagrado: La peligrosa mezcla entre religión y política en la actual crisis de las democracias occidentales","https://www.linkedin.com/pulse/poder-sagrado-la-peligrosa-mezcla-entre-religi%C3%B3n-y-pol%C3%ADtica-viola-wbunf","LinkedIn","","","En el complejo escenario político contemporáneo, especialmente en las democracias occidentales, asistimos a una curiosa perversión del sentido original de lo político.","Español"
"Autoexplotadores y Hedonistas: Anatomía de Dos Sujetos Contemporáneos","https://www.linkedin.com/pulse/autoexplotadores-y-hedonistas-anatom%C3%ADa-de-dos-sujetos-viola-h8wgc","LinkedIn","","","La sociedad contemporánea parece haberse especializado en la producción de dos tipos de sujetos que, a pesar de ser aparentemente opuestos, comparten una característica fundamental.","Español"
"Arthur Fleck contra Descartes: Crítica al Sujeto Moderno en Joker","https://www.linkedin.com/pulse/arthur-fleck-contra-descartes-cr%C3%ADtica-al-sujeto-moderno-viola-ta0hf","LinkedIn","","","La película Joker (2019), dirigida por Todd Phillips y protagonizada por Joaquin Phoenix, nos ofrece un retrato envenenado del sujeto moderno.","Español"
"Autoengaño y la Negación de la Crisis: Una Reflexión Filosófica sobre la Ceguera Voluntaria","https://www.linkedin.com/pulse/autoenga%C3%B1o-y-la-negaci%C3%B3n-de-crisis-una-reflexi%C3%B3n-filos%C3%B3fica-viola-irsof","LinkedIn","","","En la Argentina actual y, en realidad, en buena parte del mundo occidental, parece haber una especie de pacto tácito con la negación.","Español"
"Creando el Mundo: La Dimensión Imaginaria del Orden Humano","https://www.linkedin.com/pulse/creando-el-mundo-la-dimensi%C3%B3n-imaginaria-del-orden-humano-viola-hebhf","LinkedIn","","","Las normas y el orden que rigen nuestras vidas, desde las matemáticas hasta las estructuras sociales y políticas, no son entidades inmutables provenientes de la naturaleza.","Español"
"La Fragilidad del Poder: Cómo la Despolitización Alimenta la Violencia","https://www.linkedin.com/pulse/la-fragilidad-del-poder-c%C3%B3mo-despolitizaci%C3%B3n-alimenta-viola-ke2yf","LinkedIn","","","En el mundo contemporáneo, la relación entre violencia y poder es un tema de gran relevancia y preocupación. Desde los actos de terrorismo que sacuden ciudades hasta conflictos geopolíticos.","Español"
"La Paradoja del Optimismo. Confrontando la Positividad Tóxica en un Mundo de Autoexplotación","https://www.linkedin.com/pulse/la-paradoja-del-optimismo-confrontando-positividad-t%C3%B3xica-viola-2segc","LinkedIn","","","En un mundo donde el bombardeo constante de mensajes positivos y el impulso implacable hacia el éxito personal se han convertido en la norma.","Español"
"Democracia Activa: Más Allá de las Instituciones","https://www.linkedin.com/pulse/democracia-activa-m%C3%A1s-all%C3%A1-de-las-instituciones-viola-sjxhf","LinkedIn","","","En las últimas décadas, hemos sido testigos de una creciente preocupación por la salud de nuestras democracias. En un mundo donde las estructuras formales parecen cada vez más frágiles.","Español"
"El Surgimiento de una nueva Especie (digital). Perspectivas Éticas y Desafíos de la IA según Mustafa Suleyman","https://www.linkedin.com/pulse/el-surgimiento-de-una-nueva-especie-digital-%C3%A9ticas-y-desaf%C3%ADos-viola-zuaff","LinkedIn","","","En la última década, la inteligencia artificial (IA) ha pasado de ser un tema marginal, casi relegado al ámbito de la ciencia ficción, a ocupar un lugar central en nuestro debate público.","Español"
"Chris Dixon: Visionario de la Descentralización","https://www.linkedin.com/pulse/chris-dixon-visionario-de-la-descentralizaci%C3%B3n-federico-ignacio-viola-ncbdf","LinkedIn","","","En un mundo donde la omnipresencia de gigantes tecnológicos se asemeja más a una distopía digital que a un sueño utópico, emerge una voz desafiante.","Español"
