titulo,url,plataforma,fecha_publicacion,tags,resumen,idioma
"Autonomía como Autopoiesis","https://b612consultas.substack.com/p/autonomia-como-autopoiesis","substack","2025-04-01","web3,autonomía,filosofía,blockchain","Repensando la Soberanía Tecnológica desde Web3","es"
"¿Es la Inteligencia Artificial realmente artificial?","https://b612consultas.substack.com/p/es-la-inteligencia-artificial-realmente","substack","2025-04-01","IA,filosofía,tecnología","Por una inteligencia sintética, tecnogénica y protésica","es"
"La promesa de la Web 3","https://b612consultas.substack.com/p/la-promesa-de-la-web-3","substack","2025-02-01","web3,blockchain,soberanía digital","De la gleba digital a la soberanía informacional","es"
"De Hannah Arendt a la IA","https://b612consultas.substack.com/p/de-hannah-arendt-a-la-ia","substack","2024-11-01","IA,filosofía,Hannah Arendt,trabajo","Labor, Trabajo y Praxis en la Era Digital","es"
"Redescubriendo la Empatía","https://b612consultas.substack.com/p/redescubriendo-la-empatia","substack","2024-07-01","IA,empatía,inteligencia emocional","El Rol de la Inteligencia Emocional Artificial en una Sociedad Fragmentada","es"
"La Razón Afectiva","https://b612consultas.substack.com/p/la-razon-afectiva","substack","2024-06-15","IA,emociones,filosofía","La Importancia de las Emociones en la Inteligencia Artificial y Humana","es"
"Tecnocracia y Violencia","https://b612consultas.substack.com/p/tecnocracia-y-violencia","substack","2024-06-01","tecnocracia,desigualdad,filosofía política","La Administración de la Desigualdad","es"
"Somos Nosotros!","https://b612consultas.substack.com/p/somos-nosotros","substack","2024-05-15","IA,humanidad,reflexión","La IA como Reflejo Potenciado de la Humanidad Misma","es"
"Inteligencia Artificial y Autopoiesis","https://b612consultas.substack.com/p/inteligencia-artificial-y-autopoiesis","substack","2024-05-10","IA,autopoiesis,Francisco Varela,filosofía","Explorando la IA a través de la lente de Francisco Varela","es"
"Criptoanarquía y Autonomía Digital","https://b612consultas.substack.com/p/criptoanarquia-y-autonomia-digital","substack","2024-05-01","blockchain,criptoanarquía,autonomía,web3","La Filosofía detrás de la Revolución Blockchain","es"
"El Surgimiento de una nueva Especie (digital)","https://b612consultas.substack.com/p/el-surgimiento-de-una-nueva-especie","substack","2024-04-15","IA,ética,Mustafa Suleyman","Perspectivas Éticas y Desafíos de la IA según Mustafa Suleyman","es"
"Confrontando el Tecno-Utopismo","https://b612consultas.substack.com/p/confrontando-el-tecno-utopismo","substack","2024-04-01","tecno-utopismo,crítica,Marc Andreessen","Una Visión Crítica del Individualismo en el Manifiesto de Marc Andreessen","es"
"De Paul Baran a la tecnología Blockchain","https://b612consultas.substack.com/p/de-paul-baran-a-la-tecnologia-blockchain","substack","2024-03-01","blockchain,historia,criptografía,web3","Un Recorrido Histórico desde la Criptografía hasta la Web3","es"
"La Paradoja del Optimismo","https://b612consultas.substack.com/p/la-paradoja-del-optimismo","substack","2024-02-01","optimismo,positividad tóxica,autoexplotación","Confrontando la Positividad Tóxica en un Mundo de Autoexplotación","es"
"La Nueva Era de las IAs Personales","https://b612consultas.substack.com/p/la-nueva-era-de-las-ias-personales","substack","2024-01-15","IA,Pi,empatía,IA personal","Pi: La Revolución Empática en Inteligencia Artificial","es"
"Aristóteles y la Génesis de la Computadora: Un viaje lógico","https://b612consultas.substack.com/p/aristoteles-y-la-genesis-de-la-computadora","substack","2023-12-01","Aristóteles,lógica,computación,filosofía","Un viaje desde la lógica aristotélica hasta la computación moderna","es"
"La Inteligencia Desencarnada","https://b612consultas.substack.com/p/la-inteligencia-desencarnada","substack","2023-11-01","IA,cuerpo,fenomenología","Reflexión sobre la inteligencia artificial y la importancia del cuerpo","es"
